status,match_key,landsd_en,landsd_zh,landsd_district,landsd_date,landsd_gn,our_first_en,our_first_zh,our_first_date,our_first_gn,our_first_event_id,our_first_change_kind,our_latest_date,our_latest_gn,our_latest_event_id,our_latest_change_kind,date_eq_first,gn_eq_first,date_eq_latest,gn_eq_latest,notes
agree_latest,en_zh:Man Lai Road|文禮路,MAN LAI ROAD,文禮路,ST,1983-07-01,GN2023,Man Lai Road,文禮路,1980-09-26,GN3083,crowd|1980-gn3083-man-lam-lai-Man-Lai-Road-文禮路-1980-09-26,declare,1983-07-01,GN2023,crowd|1983-gn2023-sha-tin-Man-Lai-Road-文禮路-1983-07-01,extend,false,false,true,true,
agree_latest,en_zh:Man Lam Road|文林路,MAN LAM ROAD,文林路,ST,1983-07-01,GN2023,Man Lam Road,文林路,1980-09-26,GN3083,crowd|1980-gn3083-man-lam-lai-Man-Lam-Road-文林路-1980-09-26,declare,1983-07-01,GN2023,crowd|1983-gn2023-sha-tin-Man-Lam-Road-文林路-1983-07-01,extend,false,false,true,true,
agree_latest,en_zh:Man On Street|萬安街,MAN ON STREET,萬安街,YTM,1958-05-30,GN732,Man On Street,萬安街,1958-05-30,GN732,crowd|1958-gn732-tai-kok-tsui-west-Man-On-Street-萬安街-1958-05-30,declare,1958-05-30,GN732,crowd|1958-gn732-tai-kok-tsui-west-Man-On-Street-萬安街-1958-05-30,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Siu Street|民兆街,MAN SIU STREET,民兆街,KC,1976-06-25,GN1367,Man Siu Street,民兆街,1976-06-25,GN1367,crowd|1976-gn1367-hung-hom-streets-Man-Siu-Street-民兆街-1976-06-25,declare,1976-06-25,GN1367,crowd|1976-gn1367-hung-hom-streets-Man-Siu-Street-民兆街-1976-06-25,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Tai Street|民泰街,MAN TAI STREET,民泰街,KC,1976-06-25,GN1367,Man Tai Street,民泰街,1976-06-25,GN1367,crowd|1976-gn1367-hung-hom-streets-Man-Tai-Street-民泰街-1976-06-25,declare,1976-06-25,GN1367,crowd|1976-gn1367-hung-hom-streets-Man-Tai-Street-民泰街-1976-06-25,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mansion Street|民新街,MANSION STREET,民新街,E,1959-04-10,GN507,Mansion Street,民新街,1959-04-10,GN507,crowd|1959-gn507-mansion-street-Mansion-Street-民新街-1959-04-10,declare,1959-04-10,GN507,crowd|1959-gn507-mansion-street-Mansion-Street-民新街-1959-04-10,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Maple Street|楓樹街,MAPLE STREET,楓樹街,YTM-SSP,1927-11-25,GN699,Maple Street,楓樹街,1927-11-25,GN699,crowd|1927-gn699-nathan-square-11395-1927-11-25,declare,1927-11-25,GN699,crowd|1927-gn699-nathan-square-11395-1927-11-25,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Marble Road|馬寶道,MARBLE ROAD,馬寶道,E,1954-07-16,GN877,Marble Road,馬寶道,1937-09-24,GN682,crowd|1937-gn682-island-roads-11396-1937-09-24,declare,1954-07-16,GN877,crowd|1954-gn877-marble-road-Marble-Road-馬寶道-1954-07-16,declare,false,false,true,true,
agree_latest,en_zh:Marigold Road|壽菊路,MARIGOLD ROAD,壽菊路,SSP,1953-11-20,GN1420,Marigold Road,壽菊路,1953-11-20,GN1420,crowd|1953-gn1420-yau-yat-chuen-Marigold-Road-壽菊路-1953-11-20,declare,1953-11-20,GN1420,crowd|1953-gn1420-yau-yat-chuen-Marigold-Road-壽菊路-1953-11-20,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Marina Drive|遊艇徑,MARINA DRIVE,遊艇徑,Is,2000-09-15,GN6058,Marina Drive,遊艇徑,2000-09-15,GN6058,crowd|2000-gn6058-14037,declare,2000-09-15,GN6058,crowd|2000-gn6058-14037,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mau Lam Street|茂林街,MAU LAM STREET,茂林街,YTM,1922-07-28,GN335,Mau Lam Street,茂林街,1922-07-28,GN335,crowd|1922-gn335-mau-lam-street-11405-1922-07-28,declare,1922-07-28,GN335,crowd|1922-gn335-mau-lam-street-11405-1922-07-28,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mau Tan Street|牡丹街,MAU TAN STREET,牡丹街,YL,1977-12-02,GN2944,Mau Tan Street,牡丹街,1977-12-02,GN2944,crowd|1977-gn2944-yuen-long-streets-Mau-Tan-Street-牡丹街-1977-12-02,declare,1977-12-02,GN2944,crowd|1977-gn2944-yuen-long-streets-Mau-Tan-Street-牡丹街-1977-12-02,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mei Fai Street|美輝街,MEI FAI STREET,美輝街,ST,2011-05-13,GN2996,Mei Fai Street,美輝街,2011-05-13,GN2996,2011-05-13|GN2996|0,declare,2011-05-13,GN2996,2011-05-13|GN2996|0,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mei Fong Street|美芳街,MEI FONG STREET,美芳街,K&T,1974-04-19,GN1023,Mei Fong Street,美芳街,1974-04-19,GN1023,crowd|1974-gn1023-kwai-chung-streets-11410-1974-04-19,declare,1974-04-19,GN1023,crowd|1974-gn1023-kwai-chung-streets-11410-1974-04-19,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mei King Street|美景街,MEI KING STREET,美景街,KC,1977-02-17,GN420,Mei King Street,美景街,1959-01-23,GN131,crowd|1959-gn131-mei-king-street-Mei-King-Street-美景街-1959-01-23,declare,1977-02-17,GN420,crowd|1977-gn420-to-kwa-wan-streets-Mei-King-Street-美景街-1977-02-17,extend,false,false,true,true,
agree_latest,en_zh:Mei Wo Circuit|美禾圍,MEI WO CIRCUIT,美禾圍,ST,1984-01-27,GN285,Mei Wo Circuit,美禾圍,1984-01-27,GN285,crowd|1984-gn285-sha-tin-Mei-Wo-Circuit-美禾圍-1984-01-27,declare,1984-01-27,GN285,crowd|1984-gn285-sha-tin-Mei-Wo-Circuit-美禾圍-1984-01-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Mercury Street|水星街,MERCURY STREET,水星街,WC,1952-08-15,GN972,Mercury Street,水星街,1952-08-15,GN972,crowd|1952-gn972-north-point-streets-Mercury-Street-水星街-1952-08-15,declare,1952-08-15,GN972,crowd|1952-gn972-north-point-streets-Mercury-Street-水星街-1952-08-15,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Merlin Street|麥連街,MERLIN STREET,麥連街,E,1952-08-15,GN972,Merlin Street,麥連街,1952-08-15,GN972,crowd|1952-gn972-north-point-streets-Merlin-Street-麥連街-1952-08-15,declare,1952-08-15,GN972,crowd|1952-gn972-north-point-streets-Merlin-Street-麥連街-1952-08-15,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Middle Gap Road|中峽道,MIDDLE GAP ROAD,中峽道,WC,1925-03-27,GN172,Middle Gap Road,中峽道,1925-03-27,GN172,crowd|1925-gn172-middle-gap-road-11423-1925-03-27,declare,1925-03-27,GN172,crowd|1925-gn172-middle-gap-road-11423-1925-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Min Fat Street|綿發街,MIN FAT STREET,綿發街,WC,1930-03-07,GN138,Min Fat Street,綿發街,1930-03-07,GN138,crowd|1930-gn138-village-road-11427-1930-03-07,declare,1930-03-07,GN138,crowd|1930-gn138-village-road-11427-1930-03-07,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Min Fong Street|麵房街,MIN FONG STREET,麵房街,ST,1981-06-12,GN1685,Min Fong Street,麵房街,1981-06-12,GN1685,crowd|1981-gn1685-fo-tan-streets-Min-Fong-Street-麵房街-1981-06-12,declare,1981-06-12,GN1685,crowd|1981-gn1685-fo-tan-streets-Min-Fong-Street-麵房街-1981-06-12,declare,true,true,true,true,first_equals_latest
