event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
2008-08-29|GN6060|0,egazette_pdf,2008-08-29,declare,Lam Yu Road,欖裕路,"Yuen Long, New Territories",GN6060
2008-10-10|GN7003|0,egazette_pdf,2008-10-10,declare,Nightingale Road,南丁格爾路,Yau Tsim Mong,GN7003
2008-10-10|GN7003|1,egazette_pdf,2008-10-10,declare,Queen Elizabeth Hospital Road,伊利沙伯醫院路,Yau Tsim Mong,GN7003
2008-10-10|GN7003|2,egazette_pdf,2008-10-10,declare,Queen Elizabeth Hospital Path,伊利沙伯醫院徑,Yau Tsim Mong,GN7003
2008-10-10|GN7004|0,egazette_pdf,2008-10-10,declare,Fo Hing Street,科興街,"Tai Po, New Territories",GN7004
2008-12-05|GN8315|0,egazette_pdf,2008-12-05,declare,Cheung Chau Electric Path,長洲電廠徑,"Islands, New Territories",GN8315
2009-01-30|GN0683|0,egazette_pdf,2009-01-30,declare,Tung Chung Road,東涌道,"Islands, New Territories",GN0683
2009-02-06|GN0852|0,egazette_pdf,2009-02-06,declare,Fat Kwong Street Flyover,佛光街天橋,"Kowloon City, Kowloon",GN0852
2009-02-06|GN851|0,egazette_pdf,2009-02-06,declare,Bel-Air Peak Avenue,貝沙山道,"Southern District, Hong Kong",GN851
2009-03-20|GN1820|0,egazette_pdf,2009-03-20,declare,Yip Wong Road,業旺路,"Tuen Mun District, New Territories",GN1820
2009-04-09|GN2232|0,egazette_pdf,2009-04-09,declare,LOHAS Park Road,康城路,"Sai Kung District, New Territories",GN2232
2009-06-05|GN3561|0,egazette_pdf,2009-06-05,declare,Wui Man Road,匯民道,"Yau Tsim Mong, Kowloon",GN3561
2009-08-14|GN5125|0,egazette_pdf,2009-08-14,declare,Tat Fuk Road,達福路,"Tuen Mun District, New Territories",GN5125
2009-08-14|GN5125|1,egazette_pdf,2009-08-14,declare,Tung Fuk Road,同福路,"Tuen Mun District, New Territories",GN5125
2009-09-18|GN5906|0,egazette_pdf,2009-09-18,declare,Shui Fu Road,水庫路,"Yuen Long District, New Territories",GN5906
2009-12-04|GN7642|0,egazette_pdf,2009-12-04,declare,Lung Wo Road,龍和道,Central and Western District,GN7642
2009-12-04|GN7642|1,egazette_pdf,2009-12-04,declare,Edinburgh Place,愛丁堡廣場,Central and Western District,GN7642
2011-02-25|GN1314|0,egazette_pdf,2009-12-04,declare,Lung Wo Road,龍和道,"Central and Western District, Hong Kong Island",GN1314
2009-12-18|GN7995|0,egazette_pdf,2009-12-18,declare,Cheung Tsing Highway,長青公路,"Kwai Tsing District, New Territories",GN7995
2009-12-18|GN7996|0,egazette_pdf,2009-12-18,declare,Hoi Long Path,海浪徑,"Tsuen Wan District, New Territories",GN7996
2010-02-05|GN737|0,egazette_pdf,2010-02-05,declare,Wong Kong Wai Road,黃崗圍路,"Tuen Mun District, New Territories",GN737
2010-04-09|GN2046|0,egazette_pdf,2010-04-09,declare,Pok Chuen Street,博泉街,"Sha Tin, New Territories",GN2046
2010-04-09|GN2046|1,egazette_pdf,2010-04-09,declare,Pok Chuen Path,博泉徑,"Sha Tin, New Territories",GN2046
2010-04-09|GN2046|2,egazette_pdf,2010-04-09,declare,To Shek Street,多石街,"Sha Tin, New Territories",GN2046
2010-04-09|GN2046|3,egazette_pdf,2010-04-09,declare,To Shek Path,多石徑,"Sha Tin, New Territories",GN2046
2010-06-18|GN3608|0,egazette_pdf,2010-06-18,declare,Ma Shing Path,馬成徑,"Tai Po, New Territories",GN3608
2010-06-18|GN3609|0,egazette_pdf,2010-06-18,declare,Sai Kwo Road,世歌路,"Yuen Long, New Territories",GN3609
2010-06-18|GN3611|0,egazette_pdf,2010-06-18,declare,Sheung Kin Street,常健街,"Kowloon City, Kowloon",GN3611
2010-06-25|GN4011|0,egazette_pdf,2010-06-25,declare,Liu Pok Road,料壆路,"North, New Territories",GN4011
2010-06-25|GN4012|0,egazette_pdf,2010-06-25,declare,Wang Ping Shan South Road,橫平山南路,"Yuen Long, New Territories",GN4012
2010-07-16|GN4562|2,egazette_pdf,2010-07-16,declare,Choi Wing Lane,彩榮里,"Kwun Tong, Kowloon",GN4562
2010-08-06|GN5085|0,egazette_pdf,2010-08-06,declare,Sheung Kok Shan Road,上角山路,"Tsuen Wan, New Territories",GN5085
2010-08-20|GN5350|0,egazette_pdf,2010-08-20,declare,Lung Wah Street,龍華街,"Central and Western, Hong Kong Island",GN5350
2010-12-02|GN7631|0,egazette_pdf,2010-12-02,declare,Ting Yat Road,汀逸路,"Tsuen Wan, New Territories",GN7631
2010-12-02|GN7632|0,egazette_pdf,2010-12-02,declare,Yin Kong Road,燕崗路,"North, New Territories",GN7632
2011-02-18|GN1154|0,egazette_pdf,2011-02-18,declare,Tat Mei Road,達美路,"Kwai Tsing, New Territories",GN1154
2011-02-25|GN1313|0,egazette_pdf,2011-02-25,declare,Legislative Council Road,立法會道,"Central and Western District, Hong Kong Island",GN1313
2011-05-13|GN2995|0,egazette_pdf,2011-05-13,declare,Golden Beach Path,黃金泳灘徑,"Tuen Mun District, New Territories",GN2995
2011-05-13|GN2996|0,egazette_pdf,2011-05-13,declare,Mei Fai Street,美輝街,"Sha Tin, New Territories",GN2996
2011-05-13|GN2996|1,egazette_pdf,2011-05-13,declare,Ying Wan Lane,迎運里,"Sha Tin, New Territories",GN2996
2011-10-14|GN6773|0,egazette_pdf,2011-10-14,declare,School Road,學校路,"Islands, New Territories",GN6773
2011-10-14|GN6773|1,egazette_pdf,2011-10-14,declare,Tai San Back Street,大新後街,"Islands, New Territories",GN6773
2011-10-14|GN6773|2,egazette_pdf,2011-10-14,declare,Tai Tsoi Yuen Road,大菜園路,"Islands, New Territories",GN6773
2011-11-11|GN7459|0,egazette_pdf,2011-11-11,declare,Wun Yiu Road,碗窰路,"Tai Po, New Territories",GN7459
2011-11-11|GN7460|0,egazette_pdf,2011-11-11,declare,Wholesale Market Street,批發市場街,"Sham Shui Po, Kowloon",GN7460
2011-11-11|GN7461|0,egazette_pdf,2011-11-11,declare,Kai Pak Ling Road,雞伯嶺路,"Yuen Long, New Territories",GN7461
2011-12-02|GN7901|0,egazette_pdf,2011-12-02,declare,Chai Kek Road,寨乪路,"Tai Po, New Territories",GN7901
2013-05-10|GN2719|0,egazette_pdf,2013-05-10,declare,Ha Mei Road,廈尾路,"Yuen Long, New Territories",GN2719
2013-05-10|GN2719|1,egazette_pdf,2013-05-10,declare,Kam Pok Road East,錦壆路東,"Yuen Long, New Territories",GN2719
2013-05-10|GN2719|2,egazette_pdf,2013-05-10,declare,Kam Pok Road West,錦壆路西,"Yuen Long, New Territories",GN2719
2013-05-10|GN2719|3,egazette_pdf,2013-05-10,declare,Kiu Sau Path,橋壽徑,"Yuen Long, New Territories",GN2719
2013-05-10|GN2719|4,egazette_pdf,2013-05-10,declare,Kiu Tak Path,橋德徑,"Yuen Long, New Territories",GN2719
2013-05-10|GN2719|5,egazette_pdf,2013-05-10,declare,Tin Wah Road,天華路,"Yuen Long, New Territories",GN2719
2013-08-02|GN4533|0,egazette_pdf,2013-08-02,declare,Lung Chak Road,龍澤路,,GN4533
2013-08-23|GN4994|0,egazette_pdf,2013-08-23,declare,Universal Gate Road,普門路,,GN4994
2013-11-01|GN6570|0,egazette_pdf,2013-11-01,declare,,嘉敬里,,GN6570
2014-02-14|GN930|0,egazette_pdf,2014-02-14,declare,Muk Ning Street,沐寧街,,GN930
2014-02-14|GN931|0,egazette_pdf,2014-02-14,declare,Shek Tin Road,石田路,,GN931
2014-02-14|GN932|0,egazette_pdf,2014-02-14,declare,Tai Ching Cheung Road,大蒸場路,,GN932
2014-03-14|GN1563|0,egazette_pdf,2014-03-14,declare,,龍田街,,GN1563
2014-03-14|GN1563|1,egazette_pdf,2014-03-14,declare,,榕樹灣廣場路,,GN1563
2014-03-28|GN1857|0,egazette_pdf,2014-03-28,declare,On Sau Road,安秀道,,GN1857
2014-05-09|GN2737|0,egazette_pdf,2014-05-09,declare,,麥園圍路青亦路,,GN2737
2014-05-30|GN3150|0,egazette_pdf,2014-05-30,declare,,迎康街,,GN3150
2014-05-30|GN3150|1,egazette_pdf,2014-05-30,declare,,迎東路,,GN3150
2015-01-02|GN166|0,egazette_pdf,2015-01-02,declare,,下灣村東路,,GN166
2015-01-02|GN166|1,egazette_pdf,2015-01-02,declare,,下灣村路,,GN166
2015-02-13|GN1690|0,egazette_pdf,2015-02-13,declare,Sam Wo Road,三和路,,GN1690
2015-02-13|GN1691|0,egazette_pdf,2015-02-13,declare,Wai Yin Path,薈然徑,,GN1691
2015-03-13|GN2181|0,egazette_pdf,2015-03-13,declare,Hang Kai Lane,坑溪里,,GN2181
2015-03-13|GN2182|0,egazette_pdf,2015-03-13,declare,Lau Yip Street,流業街,,GN2182
2015-03-13|GN2183|0,egazette_pdf,2015-03-13,declare,Man Chat Road,文質路,,GN2183
2015-06-12|GN4273|0,egazette_pdf,2015-06-12,declare,,嘉健里,,GN4273
2015-06-12|GN4274|0,egazette_pdf,2015-06-12,declare,Tramway Lane,纜車里,,GN4274
2015-07-03|GN4865|0,egazette_pdf,2015-07-03,declare,Pak Shing Kok Road,百勝角路,,GN4865
2015-07-24|GN5558|0,egazette_pdf,2015-07-24,,Pak Shing Kok Road,百勝角路,,GN5558
2015-08-28|GN6516|0,egazette_pdf,2015-08-28,declare,,安茵街,,GN6516
2015-11-13|GN8862|0,egazette_pdf,2015-11-13,declare,Tan Kwai Tsuen Lane,丹桂村里,,GN8862
2015-12-24|GN9966|0,egazette_pdf,2015-12-24,declare,Lok Ma Chau Road,落馬洲路,,GN9966
2016-03-18|GN1596|0,landsd,2016-03-18,declare,Lung Yuet Road,龍悅道,Sham Shui Po,GN1596
2016-04-29|GN2478|0,landsd,2016-04-29,declare,Fung Yu Road,豐裕路,Yuen Long,GN2478
2016-05-27|GN3020|0,landsd,2016-05-27,declare,U Lam Terrace,儒林臺,Central and Western,GN3020
2016-07-08|GN3864|0,landsd,2016-07-08,declare,Lung Kui Road,龍駒道,Sham Shui Po,GN3864
2016-07-29|GN4332|0,landsd,2016-07-29,declare,U Lam Terrace,儒林臺,Central and Western,GN4332
2016-09-23|GN5398|0,landsd,2016-09-23,declare,Peng Chau Ho King Street,坪洲好景街,Island (Peng Chau),GN5398
2016-11-11|GN6438|0,landsd,2016-11-11,declare,Ying Tung Road,迎東路,Islands (Lantau),GN6438
2017-01-20|GN330|0,landsd,2017-01-20,declare,Kam Kong Road,錦江路,Yuen Long,GN330
2017-02-17|GN875|0,landsd,2017-02-17,declare,Hammer Hill Road,斧山道,Wong Tai Sin,GN875
2017-02-17|GN876|0,landsd,2017-02-17,declare,Sheung Shing Lane,常盛里,Kowloon City,GN876
2017-03-03|GN1160|0,landsd,2017-03-03,declare,Chun Chi Lane North,振翅里北,Kowloon City,GN1160
2017-03-03|GN1160|1,landsd,2017-03-03,declare,Chun Chi Lane South,振翅里南,Kowloon City,GN1160
2017-03-03|GN1160|10,landsd,2017-03-03,declare,Tin Chai Lane West,天際里西,Kowloon City,GN1160
2017-03-03|GN1160|11,landsd,2017-03-03,declare,Yeung Fan Lane North,揚帆里北,Kowloon City,GN1160
2017-03-03|GN1160|12,landsd,2017-03-03,declare,Yeung Fan Lane South,揚帆里南,Kowloon City,GN1160
2017-03-03|GN1160|13,landsd,2017-03-03,declare,Yuen Yeung Lane North,遠洋里北,Kowloon City,GN1160
2017-03-03|GN1160|14,landsd,2017-03-03,declare,Yuen Yeung Lane South,遠洋里南,Kowloon City,GN1160
2017-03-03|GN1160|2,landsd,2017-03-03,declare,Kai Yung Lane,啟融里,Kowloon City,GN1160
2017-03-03|GN1160|3,landsd,2017-03-03,declare,Ko Fei Lane North,高飛里北,Kowloon City,GN1160
2017-03-03|GN1160|4,landsd,2017-03-03,declare,Ko Fei Lane South,高飛里南,Kowloon City,GN1160
2017-03-03|GN1160|5,landsd,2017-03-03,declare,Muk Tai Street,沐泰街,Kowloon City,GN1160
2017-03-03|GN1160|6,landsd,2017-03-03,declare,Muk Yuen Street,沐元街,Kowloon City,GN1160
2017-03-03|GN1160|7,landsd,2017-03-03,declare,Shin Lun Lane,善鄰里,Kowloon City,GN1160
